,genes,method,x,n,mean,lower,upper
274,MG_355,exact,10,10,1,0.691502892,1
275,MG_356,exact,10,10,1,0.691502892,1
276,MG_357,exact,10,10,1,0.691502892,1
277,MG_358,exact,10,10,1,0.691502892,1
278,MG_359,exact,9,10,0.9,0.554983883,0.997471421
279,MG_361,exact,10,10,1,0.691502892,1
280,MG_362,exact,10,10,1,0.691502892,1
281,MG_363,exact,10,10,1,0.691502892,1
282,MG_522,exact,10,10,1,0.691502892,1
283,MG_365,exact,10,10,1,0.691502892,1
284,MG_367,exact,10,10,1,0.691502892,1
285,MG_368,exact,10,10,1,0.691502892,1
286,MG_369,exact,10,10,1,0.691502892,1
287,MG_370,exact,10,10,1,0.691502892,1
288,MG_372,exact,10,10,1,0.691502892,1
289,MG_375,exact,10,10,1,0.691502892,1
290,MG_376,exact,10,10,1,0.691502892,1
291,MG_378,exact,10,10,1,0.691502892,1
292,MG_379,exact,9,10,0.9,0.554983883,0.997471421
293,MG_380,exact,10,10,1,0.691502892,1
294,MG_382,exact,10,10,1,0.691502892,1
295,MG_383,exact,10,10,1,0.691502892,1
296,MG_384,exact,8,10,0.8,0.443904538,0.974789274
297,MG_385,exact,10,10,1,0.691502892,1
298,MG_386,exact,10,10,1,0.691502892,1
299,MG_387,exact,7,10,0.7,0.34754715,0.933260489
300,MG_390,exact,10,10,1,0.691502892,1
301,MG_391,exact,10,10,1,0.691502892,1
302,MG_392,exact,10,10,1,0.691502892,1
303,MG_393,exact,10,10,1,0.691502892,1
304,MG_394,exact,10,10,1,0.691502892,1
305,MG_396,exact,10,10,1,0.691502892,1
306,MG_398,exact,10,10,1,0.691502892,1
307,MG_399,exact,10,10,1,0.691502892,1
308,MG_400,exact,10,10,1,0.691502892,1
309,MG_401,exact,9,10,0.9,0.554983883,0.997471421
310,MG_402,exact,10,10,1,0.691502892,1
311,MG_403,exact,10,10,1,0.691502892,1
312,MG_404,exact,10,10,1,0.691502892,1
313,MG_405,exact,10,10,1,0.691502892,1
314,MG_407,exact,10,10,1,0.691502892,1
315,MG_408,exact,10,10,1,0.691502892,1
316,MG_409,exact,10,10,1,0.691502892,1
317,MG_410,exact,9,10,0.9,0.554983883,0.997471421
318,MG_411,exact,10,10,1,0.691502892,1
319,MG_412,exact,10,10,1,0.691502892,1
320,MG_417,exact,10,10,1,0.691502892,1
321,MG_418,exact,10,10,1,0.691502892,1
322,MG_419,exact,10,10,1,0.691502892,1
323,MG_421,exact,10,10,1,0.691502892,1
324,MG_424,exact,10,10,1,0.691502892,1
325,MG_425,exact,9,10,0.9,0.554983883,0.997471421
326,MG_426,exact,9,10,0.9,0.554983883,0.997471421
327,MG_427,exact,10,10,1,0.691502892,1
328,MG_428,exact,10,10,1,0.691502892,1
329,MG_429,exact,10,10,1,0.691502892,1
330,MG_430,exact,10,10,1,0.691502892,1
331,MG_431,exact,10,10,1,0.691502892,1
332,MG_433,exact,10,10,1,0.691502892,1
333,MG_434,exact,10,10,1,0.691502892,1
334,MG_435,exact,10,10,1,0.691502892,1
335,MG_437,exact,10,10,1,0.691502892,1
336,MG_438,exact,8,10,0.8,0.443904538,0.974789274
337,MG_442,exact,10,10,1,0.691502892,1
338,MG_444,exact,10,10,1,0.691502892,1
339,MG_445,exact,9,10,0.9,0.554983883,0.997471421
340,MG_446,exact,10,10,1,0.691502892,1
341,MG_447,exact,10,10,1,0.691502892,1
342,MG_448,exact,10,10,1,0.691502892,1
343,MG_451,exact,10,10,1,0.691502892,1
344,MG_453,exact,10,10,1,0.691502892,1
345,MG_454,exact,10,10,1,0.691502892,1
346,MG_455,exact,10,10,1,0.691502892,1
347,MG_457,exact,10,10,1,0.691502892,1
348,MG_458,exact,10,10,1,0.691502892,1
349,MG_460,exact,10,10,1,0.691502892,1
350,MG_462,exact,10,10,1,0.691502892,1
351,MG_463,exact,10,10,1,0.691502892,1
352,MG_464,exact,9,10,0.9,0.554983883,0.997471421
353,MG_465,exact,10,10,1,0.691502892,1
354,MG_466,exact,10,10,1,0.691502892,1
355,MG_467,exact,10,10,1,0.691502892,1
356,MG_468,exact,10,10,1,0.691502892,1
357,MG_526,exact,10,10,1,0.691502892,1
358,MG_469,exact,10,10,1,0.691502892,1
359,MG_470,exact,8,10,0.8,0.443904538,0.974789274
